svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
109.745,554.992,-20.125532761913533,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
109.745,554.992,-20.125532761913533,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.336,554.992,-20.01144612753227,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.386,555.535,-20.001794128007628,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.485,554.992,-19.982683168948835,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
111.422,556.621,-19.801804697857047,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
112.014,556.621,-19.68752502348529,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
112.014,557.163,-19.68752502348529,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.544,557.705,-19.39217383803125,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.593,557.705,-19.3827148784971,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.643,557.705,-19.37306287897246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.531,557.705,-19.20164336741482,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.58,557.705,-19.192184407880674,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.629,557.705,-19.182725448346524,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.975,558.248,-19.115933611636002,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.024,558.248,-19.106474652101852,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.567,558.248,-19.001653937264244,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.616,558.248,-18.992194977730094,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.665,558.248,-18.982736018195943,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.764,558.248,-18.963625059137154,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.307,558.248,-18.858804344299543,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.307,558.791,-18.858804344299543,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.307,558.791,-18.858804344299543,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.405,558.248,-18.839886425231246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.405,558.791,-18.839886425231246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.948,558.791,-18.735065710393638,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.998,558.791,-18.72541371086899,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
117.491,558.791,-18.630244995556026,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
117.886,559.876,-18.553994199311358,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
117.935,559.876,-18.544535239777208,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.33,559.876,-18.468284443532536,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.379,559.876,-18.458825483998385,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.577,559.876,-18.420603565880807,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.625,559.876,-18.41133764633715,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.971,559.876,-18.344545809626627,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.02,560.419,-18.33508685009248,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.069,559.876,-18.32562789055833,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.12,560.419,-18.315782851043195,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.661,560.419,-18.211348216186572,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.661,560.962,-18.211348216186572,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.661,560.962,-18.211348216186572,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
120.205,560.962,-18.10633446135847,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
120.747,560.962,-18.001706786511352,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
121.29,560.962,-17.89688607167374,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
