svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
109.181,349.149,-20.234407316551493,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.725,349.692,-20.129393561723393,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.774,349.692,-20.119934602189243,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.873,349.692,-20.10082364313045,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.416,350.234,-19.996002928292842,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.515,349.692,-19.97689196923405,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.563,349.692,-19.967626049690395,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.403,350.234,-19.805472457676412,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.502,350.234,-19.786361498617623,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.551,350.234,-19.776902539083473,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.242,350.234,-19.64351190565292,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.341,350.234,-19.624400946594132,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.686,350.234,-19.557802149874103,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.28,350.779,-19.44313639552136,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.329,350.779,-19.43367743598721,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.378,350.779,-19.42421847645306,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.612,350.779,-19.1860071281849,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.711,350.779,-19.16689616912611,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.106,350.779,-19.09064537288144,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.649,351.322,-18.985824658043832,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.748,351.322,-18.96671369898504,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.143,351.322,-18.89046290274037,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.143,351.322,-18.89046290274037,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.29,351.322,-18.86208602413792,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.389,351.322,-18.842975065079134,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.685,351.322,-18.78583522789325,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.785,351.322,-18.76653122884397,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.933,351.322,-18.737961310251027,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.982,351.322,-18.72850235071688,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.982,351.322,-18.72850235071688,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.229,351.322,-18.680821473065148,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.328,351.322,-18.66171051400636,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.328,351.322,-18.66171051400636,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.376,351.322,-18.6524445944627,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.871,351.322,-18.55688979916875,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.92,351.322,-18.5474308396346,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.969,351.322,-18.53797188010045,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.019,351.322,-18.528319880575808,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.068,351.322,-18.51886092104166,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.314,351.322,-18.471373083380424,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.364,351.322,-18.461721083855778,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
