svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
109.725,349.149,-20.129393561723393,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.725,349.692,-20.129393561723393,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.823,349.692,-20.110475642655096,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.416,349.692,-19.996002928292842,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.515,349.692,-19.97689196923405,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.563,349.692,-19.967626049690395,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.008,350.234,-19.881723253921084,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.452,350.234,-19.796013498142266,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.502,350.234,-19.786361498617623,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.143,350.234,-19.662622864711714,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.242,350.234,-19.64351190565292,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.341,350.234,-19.624400946594132,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.686,350.779,-19.557802149874103,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.28,350.779,-19.44313639552136,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.329,350.779,-19.43367743598721,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.563,350.779,-19.19546608771905,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.662,350.779,-19.17635512866026,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.711,350.779,-19.16689616912611,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.106,351.322,-19.09064537288144,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.649,351.322,-18.985824658043832,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.797,351.322,-18.957254739450892,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.143,351.322,-18.89046290274037,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.192,351.322,-18.88100394320622,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.34,351.322,-18.85243402461328,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.389,351.322,-18.842975065079134,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.735,351.322,-18.77618322836861,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.785,351.322,-18.76653122884397,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.933,351.322,-18.737961310251027,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.982,351.322,-18.72850235071688,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.229,351.322,-18.680821473065148,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.278,351.322,-18.671362513530998,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.328,351.322,-18.66171051400636,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.376,351.322,-18.6524445944627,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.376,351.322,-18.6524445944627,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.871,351.322,-18.55688979916875,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.92,351.322,-18.5474308396346,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
