svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
109.202,554.992,-20.230353476751144,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
109.745,554.992,-20.125532761913533,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
109.844,554.992,-20.106421802854744,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.485,554.992,-19.982683168948835,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.485,554.992,-19.982683168948835,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
111.471,556.078,-19.7923457383229,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
111.471,556.621,-19.7923457383229,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
112.014,556.621,-19.68752502348529,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.149,557.705,-19.46842463427592,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.544,557.705,-19.39217383803125,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.643,557.705,-19.37306287897246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.481,557.705,-19.211295366939463,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.58,557.705,-19.192184407880674,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.629,557.705,-19.182725448346524,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.975,558.248,-19.115933611636002,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.975,558.248,-19.115933611636002,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.567,558.248,-19.001653937264244,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.616,558.248,-18.992194977730094,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.665,558.248,-18.982736018195943,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.764,558.248,-18.963625059137154,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.307,558.248,-18.858804344299543,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.307,558.791,-18.858804344299543,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.356,558.791,-18.849345384765396,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.405,558.248,-18.839886425231246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.405,558.248,-18.839886425231246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.948,558.791,-18.735065710393638,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.998,558.791,-18.72541371086899,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.998,558.791,-18.72541371086899,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
