svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
109.202,554.449,-20.230353476751144,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
109.745,554.992,-20.125532761913533,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
109.794,554.992,-20.116073802379386,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.386,554.992,-20.001794128007628,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.485,554.992,-19.982683168948835,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
110.929,555.535,-19.896973413170016,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
111.422,556.621,-19.801804697857047,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
112.014,556.621,-19.68752502348529,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
112.606,557.163,-19.57324534911353,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.544,557.705,-19.39217383803125,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.593,557.705,-19.3827148784971,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
113.691,557.705,-19.363796959428804,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.58,557.705,-19.192184407880674,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.629,557.705,-19.182725448346524,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.629,557.705,-19.182725448346524,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
114.975,558.248,-19.115933611636002,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.024,558.248,-19.106474652101852,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.567,558.248,-19.001653937264244,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.665,558.248,-18.982736018195943,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.714,558.248,-18.973277058661797,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
115.764,558.248,-18.963625059137154,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.307,558.791,-18.858804344299543,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.307,558.791,-18.858804344299543,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.356,558.248,-18.849345384765396,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.405,558.248,-18.839886425231246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.405,558.791,-18.839886425231246,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.948,558.791,-18.735065710393638,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
116.998,558.791,-18.72541371086899,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
117.491,559.333,-18.630244995556026,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
117.886,559.876,-18.553994199311358,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
117.984,559.876,-18.535076280243057,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.33,559.876,-18.468284443532536,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.428,559.876,-18.44936652446424,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.577,559.876,-18.420603565880807,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
118.625,559.876,-18.41133764633715,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.02,559.876,-18.33508685009248,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.02,560.419,-18.33508685009248,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.069,559.876,-18.32562789055833,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.563,560.419,-18.23026613525487,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.661,560.419,-18.211348216186572,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
119.661,560.962,-18.211348216186572,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
120.205,560.962,-18.10633446135847,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
120.205,560.962,-18.10633446135847,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
120.747,560.962,-18.001706786511352,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
121.29,560.962,-17.89688607167374,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
122.375,562.047,-17.687437681989014,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
123.707,562.64,-17.430308414652558,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
123.757,562.64,-17.420656415127915,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
123.806,562.64,-17.411197455593765,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
124.398,562.64,-17.296917781222007,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
124.447,562.64,-17.287458821687856,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
124.497,563.183,-17.277806822163218,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
124.546,563.183,-17.268347862629067,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
125.138,563.183,-17.15406818825731,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
125.632,563.724,-17.058706432953848,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
125.829,563.724,-17.02067755482676,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
125.927,563.724,-17.00175963575846,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
126.618,563.724,-16.868369002327913,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
126.618,563.724,-16.868369002327913,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
126.667,563.724,-16.858910042793763,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
126.717,563.724,-16.84925804326912,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
126.717,563.724,-16.84925804326912,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.26,563.724,-16.74443732843151,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.31,563.724,-16.734785328906867,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.31,564.267,-16.734785328906867,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.31,564.267,-16.734785328906867,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.31,564.81,-16.734785328906867,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.31,564.81,-16.734785328906867,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.358,563.724,-16.725519409363212,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
127.358,563.724,-16.725519409363212,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
128.394,565.353,-16.52552997921263,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
128.444,565.353,-16.515877979687993,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
128.838,565.353,-16.439820223433816,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
128.888,565.353,-16.43016822390917,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
128.937,565.353,-16.42070926437502,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
129.085,565.353,-16.392139345782084,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
129.135,565.353,-16.382487346257445,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
129.727,565.353,-16.268207671885683,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
129.727,565.353,-16.268207671885683,-0.05,#231f20,NA,0.146,#231f20|solid|0.146,NA
