svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
105.937,424.048,-20.860629045710255,-0.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
105.937,554.429,-20.860629045710255,-0.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
105.937,629.348,-20.860629045710255,-0.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
109.188,345.878,-20.233056036618045,1.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
109.188,349.128,-20.233056036618045,1.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
109.188,473.995,-20.233056036618045,-0.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
109.188,679.295,-20.233056036618045,-0.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
126.767,565.403,-16.839606043744478,-0.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
131.602,566.834,-15.906257689711616,-0.05,#231f20,NA,0.5,#231f20|solid|0.500,NA
