svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
109.725,349.692,-20.129393561723393,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.725,349.692,-20.129393561723393,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.823,349.692,-20.110475642655096,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.416,349.692,-19.996002928292842,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.515,349.692,-19.97689196923405,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.563,349.692,-19.967626049690395,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.403,350.234,-19.805472457676412,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.452,350.234,-19.796013498142266,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.551,350.234,-19.776902539083473,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.193,350.234,-19.652970865187072,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.292,350.234,-19.63385990612828,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.341,350.234,-19.624400946594132,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.23,350.779,-19.452788395046,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.28,350.779,-19.44313639552136,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.378,350.779,-19.42421847645306,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.612,350.779,-19.1860071281849,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.662,350.779,-19.17635512866026,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.711,350.779,-19.16689616912611,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.649,351.322,-18.985824658043832,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.698,351.322,-18.97636569850968,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.093,351.322,-18.90011490226501,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.143,351.322,-18.89046290274037,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.242,351.322,-18.871351943681578,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.34,351.322,-18.85243402461328,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.389,351.322,-18.842975065079134,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.735,351.322,-18.77618322836861,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.833,351.322,-18.757265309300312,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.933,351.322,-18.737961310251027,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.982,351.322,-18.72850235071688,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.229,351.322,-18.680821473065148,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.278,351.322,-18.671362513530998,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.328,351.322,-18.66171051400636,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.376,351.322,-18.6524445944627,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.871,351.322,-18.55688979916875,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.92,351.322,-18.5474308396346,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.969,351.322,-18.53797188010045,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
117.969,351.322,-18.53797188010045,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.019,351.322,-18.528319880575808,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.068,351.322,-18.51886092104166,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.314,351.322,-18.471373083380424,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.414,351.322,-18.45206908433114,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.562,351.322,-18.4234991657382,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.611,351.322,-18.41404020620405,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
118.956,351.322,-18.34744140948402,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
119.006,351.322,-18.33778940995938,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
119.055,351.322,-18.32833045042523,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
119.055,351.322,-18.32833045042523,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
119.105,351.322,-18.318678450900588,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
119.647,351.322,-18.21405077605347,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
119.697,351.322,-18.20439877652883,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
119.747,351.322,-18.194746777004188,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
120.191,351.322,-18.10903702122537,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
120.191,351.865,-18.10903702122537,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
120.734,351.865,-18.00421630638776,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
121.326,351.865,-17.889936632016,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
123.548,352.408,-17.461001773140918,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
123.598,352.408,-17.451349773616275,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
123.696,351.865,-17.43243185454798,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
124.388,352.408,-17.298848181126935,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
124.437,352.408,-17.28938922159279,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
124.487,352.408,-17.279737222068146,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
124.536,352.408,-17.270278262533996,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
124.536,352.408,-17.270278262533996,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
124.634,352.408,-17.2513603434657,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
125.326,352.408,-17.117776670044655,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
125.374,352.408,-17.108510750501,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
125.474,352.408,-17.089206751451716,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
125.523,352.408,-17.079747791917566,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
125.572,352.408,-17.070288832383415,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
126.46,352.408,-16.89886932082578,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
126.511,352.408,-16.889024281310647,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
126.609,352.408,-16.870106362242346,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
126.659,352.408,-16.860454362717704,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
126.707,352.408,-16.85118844317405,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
127.202,352.408,-16.755633647880096,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
127.301,352.408,-16.736522688821303,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
127.35,352.408,-16.727063729287156,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.041,352.951,-16.593673095856605,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.09,352.951,-16.584214136322455,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.139,352.951,-16.574755176788305,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.535,352.951,-16.498311340553144,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.633,352.951,-16.479393421484843,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.731,352.951,-16.46047550241655,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.781,352.951,-16.450823502891904,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
128.88,352.951,-16.431712543833115,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
129.621,352.951,-16.28866991087792,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
129.67,352.951,-16.279210951343778,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
129.719,352.951,-16.269751991809628,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
129.769,352.951,-16.26009999228498,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
129.818,352.951,-16.25064103275083,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
